qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_and_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,phishing
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1
1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1
1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,1
7,3,1,16,2,2,0,0,0,0,0,0,0,0,0,0,0,3,228,1
4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,204,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1
6,0,0,6,0,3,0,2,0,0,0,0,0,0,0,0,0,1,144,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1
1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1
3,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,69,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1
2,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0
3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1
3,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0
3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,1
1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,1
4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0
2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1
4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1
3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,30,1
3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,1
3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
2,7,0,12,1,6,0,4,0,0,0,0,0,0,0,0,0,1,271,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,59,1
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,1
3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1
1,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,59,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0
4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,68,1
2,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,0,1,221,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1
2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,79,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1
4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0
3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1
6,2,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,159,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,43,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0
4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,1
2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1
1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,50,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1
3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0
1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1
3,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,1,63,0
2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1
1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,78,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1
5,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,93,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0
4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,1
3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,1
2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,56,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0
2,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,68,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0
2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0
1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1
4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1
2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,1
3,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1
4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,2,79,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1
1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,1
2,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,1,229,1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,1
2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70,1
2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,1
